Long,Lat,Desc,pos,bkf_W,bkf_D
145.467379,-38.05347805,up_xs8_riffle,,0,0
145.4673781,-38.05347375,up_xs8_riffle,,0.485602718,-1.257
145.4673795,-38.05346668,up_xs8_riffle,,1.263158343,-1.766
145.4673803,-38.05344989,up_xs8_riffle,,3.128696214,-2.814
145.4673796,-38.05343783,up_xs8_riffle,,4.465036282,-3.475
145.4673809,-38.05342751,up_xs8_riffle,,5.612514588,-4.046
145.4673816,-38.05341617,up_xs8_riffle,,6.87196231,-4.717
145.4673818,-38.0534059,up_xs8_riffle,,8.011825385,-5.067
145.4673833,-38.05339652,up_xs8_riffle,,9.055795602,-5.386
145.4673701,-38.05339281,up_xs8_riffle,bkf,9.491965286,-5.604
145.4673826,-38.05339167,up_xs8_riffle,bkf_WL,9.592236288,-5.731
145.4673824,-38.05338828,up_xs8_riffle,,9.967900731,-5.996
145.4673831,-38.05338416,up_xs8_riffle,,10.42562382,-6.117
145.467382,-38.05337963,up_xs8_riffle,,10.92631525,-6.054
145.4673811,-38.0533745,up_xs8_riffle,bkf_M,11.49400352,-6.018
145.4673807,-38.05336988,up_xs8_riffle,,12.00609999,-5.911
145.4673805,-38.05336495,up_xs8_riffle,,12.55221227,-5.864
145.4673805,-38.0533599,up_xs8_riffle,,13.11325017,-5.937
145.4673794,-38.05335693,up_xs8_riffle,bkf_WL,13.44230077,-5.754
145.4673802,-38.05335027,up_xs8_riffle,,14.18258668,-5.684
145.4673799,-38.05334612,up_xs8_riffle,bkf,14.64186334,-5.604
145.46738,-38.05334126,up_xs8_riffle,,15.18085376,-5.2382
145.4673805,-38.05333456,up_xs8_riffle,,15.9255144,-4.959
145.4673823,-38.05332485,up_xs8_riffle,,17.00500106,-4.922
145.4673832,-38.05331595,up_xs8_riffle,,17.99414808,-4.704
145.4673843,-38.05330337,up_xs8_riffle,,19.39253465,-4.281
145.4673825,-38.05329359,up_xs8_riffle,,20.47402659,-3.712
145.4673799,-38.0532838,up_xs8_riffle,,21.55779256,-3.334
145.467377,-38.05327124,up_xs8_riffle,,22.95278371,-3.104
145.4673742,-38.05326201,up_xs8_riffle,,23.97978576,-3.036
