site,out_L,pos,xs_N,xs_CN,xs_CN2,CA,ei,Bars,Log_jams,Big_T,lwd,xs_D,lwd_N,pool_D,riffle_D
site_1,us_hx1,upstream,pool,r8_p7,r_p,38.867616,0.001276774,0,0,1,4,10.859,0.368358044,,
site_1,us_hx1,upstream,riffle,p7_r6,p_r,38.867616,0.001276774,0,0,0,5,6.443,0.776036008,,17.302
site_1,us_hx1,upstream,pool,r6_p5,r_p,38.867616,0.001276774,1,0,0,34,29.482,1.153246048,35.925,
site_1,us_hx1,upstream,riffle,p5_r4,p_r,38.867616,0.001276774,0,0,1,14,17.889,0.782603835,,47.371
site_1,us_hx1,upstream,pool,r4_p3,r_p,38.867616,0.001276774,0,1,1,20,11.571,1.728459079,29.46,
site_1,us_hx1,upstream,riffle,p3_r2,p_r,38.867616,0.001276774,1,1,1,21,20.041,1.047851904,,31.612
site_1,us_hx1,upstream,pool,r2_p1,r_p,38.867616,0.001276774,0,0,1,37,45.674,0.810088891,65.715,
site_1,ds_hx1,downstream,pool,r1_p2,r_p,38.887,0.001276774,0,0,0,4,8.789,0.455114347,,
site_1,ds_hx1,downstream,riffle,p2_r3,p_r,38.887,0.001513245,0,0,0,7,9.405,0.744284955,,18.194
site_1,ds_hx1,downstream,pool,r3_p4,r_p,38.887,0.001513245,0,0,0,1,9.188,0.108837614,18.593,
site_1,ds_hx1,downstream,riffle,p4_r5,p_r,38.887,0.001513245,0,0,0,0,9.867,0,,19.055
site_1,ds_hx1,downstream,pool,r5_p6,r_p,38.887,0.001513245,0,0,0,1,12.454,0.080295487,22.321,
site_1,ds_hx1,downstream,riffle,p6_r7,p_r,38.887,0.001513245,0,0,0,0,30.028,0,,42.482
site_1,ds_hx1,downstream,pool,r7_p8,r_p,38.887,0.001513245,0,0,1,1,12.656,0.079013906,42.684,
site_2,us_hx2,upstream,pool,r8_p7,r_p,38.886609,0.001513245,1,1,1,20,11.032,1.812907904,,
site_2,us_hx2,upstream,riffle,p7_r6,p_r,38.886609,0.001513245,1,1,1,32,21.014,1.522794328,,32.046
site_2,us_hx2,upstream,pool,r6_p5,r_p,38.886609,0.001955434,0,0,0,8,11.752,0.680735194,32.766,
site_2,us_hx2,upstream,riffle,p5_r4,p_r,38.886609,0.001955434,0,0,0,4,4.25,0.941176471,,16.002
site_2,us_hx2,upstream,pool,r4_p3,r_p,38.886609,0.001955434,1,0,0,2,11.847,0.16881911,16.097,
site_2,us_hx2,upstream,riffle,p3_r2,p_r,38.886609,0.001955434,1,0,0,1,10.35,0.096618357,,22.197
site_2,us_hx2,upstream,pool,r2_p1,r_p,38.886609,0.001955434,2,0,0,3,5.955,0.503778338,16.305,
site_2,hx2ds_3us,downstream,riffle,p1_r2,p_r,38.952616,0.001955434,0,0,1,13,7.994,1.626219665,,
site_2,hx2ds_3us,downstream,pool,r2_p3,r_p,38.952616,0.001955434,0,0,0,11,17.611,0.624609619,25.605,
site_2,hx2ds_3us,downstream,riffle,p3_r4,p_r,38.952616,0.001955434,0,0,1,4,20.255,0.197482103,,37.866
site_2,hx2ds_3us,downstream,pool,r4_p5,r_p,38.952616,0.001955434,0,1,1,13,10.673,1.218026797,30.928,
site_2,hx2ds_3us,downstream,riffle,p5_r6,p_r,38.952616,0.001955434,1,1,1,6,14.55,0.412371134,,25.223
site_2,hx2ds_3us,downstream,pool,r6_p7,r_p,38.952616,0.001955434,1,0,0,18,29.582,0.608478129,44.132,
site_2,hx2ds_3us,downstream,riffle,p7_r8,p_r,38.952616,0.001955434,0,0,0,18,5.986,3.007016372,,35.568
site_2,hx3ds_4us,downstream,riffle,p1_r2,p_r,38.97167,0.001955434,1,0,0,20,23.421,0.853934503,,
site_2,hx3ds_4us,downstream,pool,r2_p3,r_p,38.97167,0.001955434,1,1,1,5,16.633,0.300607227,40.054,
site_2,hx3ds_4us,downstream,riffle,p3_r4,p_r,38.97167,0.001955434,0,0,0,11,19.055,0.577276305,,35.688
site_2,hx3ds_4us,downstream,pool,r4_p5,r_p,38.97167,0.001955434,1,0,0,8,17.706,0.45182424,36.761,
site_2,hx3ds_4us,downstream,riffle,p5_r6,p_r,38.97167,0.003865073,0,0,1,8,3.175,2.519685039,,20.881
site_2,hx3ds_4us,downstream,pool,r6_p7,r_p,38.97167,0.003865073,1,0,0,7,10.755,0.650860065,13.93,
site_2,hx3ds_4us,downstream,riffle,p7_r8,p_r,38.97167,0.003865073,1,0,1,12,8.39,1.430274136,,19.145
site_2,hx4ds_5us,downstream,riffle,p1_r2,p_r,38.97167,0.003865073,1,0,0,20,23.421,0.853934503,,
site_2,hx4ds_5us,downstream,pool,r2_p3,r_p,38.97167,0.003865073,1,1,1,5,16.633,0.300607227,40.054,
site_2,hx4ds_5us,downstream,riffle,p3_r4,p_r,38.97167,0.003865073,0,0,0,11,19.055,0.577276305,,35.688
site_2,hx4ds_5us,downstream,pool,r4_p5,r_p,38.97167,0.003865073,1,0,0,8,17.706,0.45182424,36.761,
site_2,hx4ds_5us,downstream,riffle,p5_r6,p_r,38.97167,0.003865073,0,0,1,8,3.175,2.519685039,,20.881
site_2,hx4ds_5us,downstream,pool,r6_p7,r_p,38.97167,0.003922124,1,0,0,7,10.755,0.650860065,13.93,
site_2,hx4ds_5us,downstream,riffle,p7_r8,p_r,38.97167,0.003922124,1,0,1,12,8.39,1.430274136,,19.145
site_2,ds_hx5,downstream,riffle,p1_r2,p_r,39.269128,0.003922124,0,1,1,12,15.055,0.797077383,,
site_2,ds_hx5,downstream,pool,r2_p3,r_p,39.269128,0.003922124,0,0,0,2,7.158,0.279407656,22.213,
site_2,ds_hx5,downstream,riffle,p3_r4,p_r,39.269128,0.003922124,0,0,0,1,7.288,0.137211855,,14.446
site_2,ds_hx5,downstream,pool,r4_p5,r_p,39.269128,0.003922124,0,0,0,14,31.85,0.43956044,39.138,
site_2,ds_hx5,downstream,riffle,p5_r6,p_r,39.269128,0.003922124,1,0,0,8,8.024,0.997008973,,39.874
site_2,ds_hx5,downstream,pool,r6_p7,r_p,39.269128,0.003922124,1,0,1,4,11.884,0.336587008,19.908,
site_2,ds_hx5,downstream,riffle,p7_r8,p_r,39.269128,0.005501858,0,0,0,7,8.623,0.811782442,,20.507
site_3,us_hx6,upstream,pool,r8_p7,r_p,39.269128,0.005501858,0,0,0,2,6.054,0.330360093,,
site_3,us_hx6,upstream,riffle ,p7_r6,p_r,39.269128,0.005501858,0,0,0,6,8.123,0.738643358,,14.177
site_3,us_hx6,upstream,pool,r6_p5,r_p,39.269128,0.005501858,0,1,0,8,15.915,0.502670437,24.038,
site_3,us_hx6,upstream,riffle ,p5_r4,p_r,39.269128,0.005501858,0,1,0,2,7.07,0.282885431,,22.985
site_3,us_hx6,upstream,pool,r4_p3,r_p,39.269128,0.005501858,0,0,0,11,17.089,0.643688923,24.159,
site_3,us_hx6,upstream,riffle ,p3_r2,p_r,39.269128,0.005501858,0,1,1,4,7.383,0.541785182,,24.472
site_3,us_hx6,upstream,pool,r2_p1,r_p,39.269128,0.005501858,0,1,2,38,50.615,0.750765583,57.998,
site_3,ds_hx6,downstream,riffle,p1_r2,p_r,39.49191,0.006937358,1,0,0,6,9.244,0.649069667,,
site_3,ds_hx6,downstream,pool,r2_p3,r_p,39.49191,0.006937358,1,0,0,4,15.37,0.260247235,24.614,
site_3,ds_hx6,downstream,riffle,p3_r4,p_r,39.49191,0.006937358,1,0,0,10,52.261,0.191347276,,67.631
site_3,ds_hx6,downstream,pool,r4_p5,r_p,39.49191,0.006937358,1,1,0,8,7.186,1.113275814,59.447,
site_3,ds_hx6,downstream,riffle,p5_r6,p_r,39.49191,0.006937358,1,1,0,18,6.59,2.731411229,,13.776
site_3,ds_hx6,downstream,pool,r6_p7,r_p,39.49191,0.006937358,1,0,0,9,13.809,0.651748859,20.399,
site_3,ds_hx6,downstream,riffle,p7_r8,p_r,39.49191,0.006937358,1,0,1,15,11.011,1.36227409,,24.82
site_4,us_hx7,upstream,riffle,p4_r3,p_r,39.49191,0.006937358,0,0,0,7,21.464,0.326127469,,31.465
site_4,us_hx7,upstream,pool,r3_p2,r_p,39.49191,0.006937358,1,0,0,17,75.718,0.224517288,97.182,
site_4,us_hx7,upstream,riffle,p2_r1,p_r,39.49191,0.006937358,1,0,0,1,7.744,0.129132231,,83.462
site_4,ds_hx7,downstream,riffle,p1_r2,p_r,39.570202,0.009120354,0,0,1,8,60.93,0.131298211,,
site_4,ds_hx7,downstream,pool,r2_p3,r_p,39.570202,0.009120354,0,0,0,6,32.037,0.187283454,92.967,
site_4,ds_hx7,downstream,riffle,p3_r4,p_r,39.570202,0.009120354,0,0,0,2,13.155,0.152033447,,45.192
site_4,ds_hx7,downstream,pool,r4_p5,r_p,39.570202,0.009120354,0,0,0,6,49.396,0.121467325,62.551,
site_4,ds_hx7,downstream,riffle,p5_r6,p_r,39.570202,0.009120354,0,0,0,0,13.405,0,,62.801
site_4,ds_hx7,downstream,pool,r6_p7,r_p,39.570202,0.009120354,0,0,0,4,20.356,0.19650226,33.761,
site_4,ds_hx7,downstream,riffle,p7_r8,p_r,39.570202,0.009120354,0,0,0,9,26.459,0.34014891,,46.815
site_4,ds_hx7,downstream,pool,r8_p9,r_p,39.570202,0.009120354,0,1,0,1,15.493,0.064545279,41.952,
site_5,us_hx8,upstream,pool,r8_p7,r_p,39.570202,0.009120354,1,0,0,1,1.59,0.628930818,,
site_5,us_hx8,upstream,riffle,p7_r6,p_r,39.570202,0.009120354,1,0,0,2,1.011,1.978239367,,2.601
site_5,us_hx8,upstream,pool,r6_p5,r_p,39.570202,0.009120354,1,0,0,10,28.446,0.351543275,29.457,
site_5,us_hx8,upstream,riffle,p5_r4,p_r,39.570202,0.009120354,0,0,1,1,40.61,0.024624477,,69.056
site_5,us_hx8,upstream,pool,r4_p3,r_p,39.570202,0.009120354,0,0,0,1,19.024,0.052565181,59.634,
site_5,us_hx8,upstream,riffle,p3_r2,p_r,39.570202,0.009120354,0,0,1,2,24.863,0.080440816,,43.887
site_5,us_hx8,upstream,pool,r2_p1,r_p,39.570202,0.009120354,0,0,0,9,37.136,0.242352434,61.999,
site_5,hx8ds_9us,downstream,pool,r1_p2,r_p,39.761885,0.01071629,0,0,0,1,16.76,0.059665871,,
site_5,hx8ds_9us,downstream,riffle,p2_r3,p_r,39.761885,0.01071629,0,0,0,0,14.586,0,31.346,
