site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_1,us_hx1,upstream,38.886609,0.001276774,riffle,xs8,0.513,0.252,5.150,1.486,11.924,10.039,52.286,52.240,,,,
site_1,us_hx1,upstream,38.886609,0.001276774,pool,xs7,1.260,0.577,4.932,3.023,5.153,3.914,52.481,52.399,10.859,0.368,,
site_1,us_hx1,upstream,38.886609,0.001276774,riffle,xs6,0.530,0.342,5.953,2.209,6.545,11.232,52.278,52.315,6.443,0.776,,17.302
site_1,us_hx1,upstream,38.886609,0.001276774,pool,xs5,1.026,0.560,3.771,2.853,4.099,3.675,51.981,51.989,29.482,1.153,35.925,
site_1,us_hx1,upstream,38.886609,0.001276774,riffle,xs4,0.637,0.331,3.479,1.504,9.641,5.461,51.788,51.867,17.889,0.783,,47.371
site_1,us_hx1,upstream,38.886609,0.001276774,pool,xs3,1.246,0.572,6.041,4.531,5.039,4.848,51.697,51.950,11.571,1.728,29.460,
site_1,us_hx1,upstream,38.886609,0.001276774,riffle,xs2,1.078,0.655,5.719,4.370,5.494,5.305,52.096,52.164,20.041,1.048,,31.612
site_1,us_hx1,upstream,38.886609,0.001276774,pool,xs1,1.154,0.646,5.392,4.257,5.329,4.673,51.770,51.734,45.674,0.810,65.715,
site_1,ds_hx1,downstream,38.886609,0.001513245,riffle,xs1,0.579,0.336,3.353,1.162,9.060,5.791,51.579,51.655,,,,
site_1,ds_hx1,downstream,38.886609,0.001513245,pool,xs2,1.580,0.976,4.553,4.831,4.354,2.881,51.961,51.804,8.789,0.455,,
site_1,ds_hx1,downstream,38.886609,0.001513245,riffle,xs3,0.605,0.363,2.790,1.133,10.129,4.612,51.377,51.430,9.405,0.744,,18.194
site_1,ds_hx1,downstream,38.886609,0.001513245,pool,xs4,1.152,0.583,4.528,3.175,5.730,3.931,51.584,51.569,9.188,0.109,18.593,
site_1,ds_hx1,downstream,38.886609,0.001513245,riffle,xs5,0.839,0.529,4.038,2.381,7.313,4.813,51.689,51.634,9.867,0.000,,19.055
site_1,ds_hx1,downstream,38.886609,0.001513245,pool,xs6,1.203,0.493,4.918,3.645,5.569,4.088,51.370,51.370,12.454,0.080,22.321,
site_1,ds_hx1,downstream,38.886609,0.001513245,riffle,xs7,0.592,0.386,4.051,1.709,9.686,6.843,51.353,51.353,30.028,0.000,,42.482
site_1,ds_hx1,downstream,38.886609,0.001513245,pool,xs8,1.090,0.597,4.691,3.393,6.218,4.304,51.355,51.355,12.656,0.079,42.684,
site_2,us_hx2,upstream,38.886609,0.001513245,riffle,xs8,0.941,0.417,5.060,2.172,6.645,5.377,50.538,50.509,,,,
site_2,us_hx2,upstream,38.886609,0.001513245,pool,xs7,1.100,0.573,7.643,5.646,5.950,6.948,50.581,50.339,11.032,1.813,,
site_2,us_hx2,upstream,38.886609,0.001513245,riffle,xs6,0.359,0.183,3.882,0.887,16.485,10.814,50.098,50.099,21.014,1.523,,32.046
site_2,us_hx2,upstream,38.886609,0.001513245,pool,xs5,0.771,0.420,3.775,1.830,7.252,4.896,50.117,49.998,11.752,0.681,32.766,
site_2,us_hx2,upstream,38.886609,0.001513245,riffle,xs4,0.673,0.301,5.018,1.427,9.001,7.457,50.111,50.074,4.250,0.941,,16.002
site_2,us_hx2,upstream,38.886609,0.001513245,pool,xs3,0.698,0.392,4.141,1.888,8.403,5.933,49.991,50.072,11.847,0.169,16.097,
site_2,us_hx2,upstream,38.886609,0.001513245,riffle,xs2,0.700,0.445,6.476,3.376,8.441,9.251,50.149,50.059,10.350,0.097,,22.197
site_2,us_hx2,upstream,38.886609,0.001513245,pool,xs1,1.213,0.687,3.849,2.865,5.215,3.173,50.087,50.087,5.955,0.504,16.305,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,pool,xs1,0.911,0.412,3.058,1.816,7.123,3.356,49.852,49.998,,,,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,riffle,xs2,0.376,0.181,5.25,1.188,15.854,13.962,49.846,49.969,7.994,1.626,,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,pool,xs3,1.097,0.481,3.762,2.95,6.083,3.429,49.923,49.986,17.611,0.625,25.605,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,riffle,xs4,0.577,0.159,3.23,1.073,10.237,5.598,49.697,49.578,20.255,0.197,,37.866
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,pool,xs5,1.297,0.484,6.21,3.327,5.449,4.788,49.566,49.493,10.673,1.218,30.928,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,riffle,xs6,0.718,0.367,3.493,1.696,8.202,4.865,49.508,49.473,14.550,0.412,,25.223
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,pool,xs7,0.835,0.585,3.957,2.751,6.759,4.739,49.547,49.687,29.582,0.608,44.132,
site_2,hx2ds_3us,upstream_downstream,38.952616,0.001955434,riffle,xs8,0.304,0.16,3.53,0.659,20.332,11.613,49.429,49.348,5.986,3.007,,35.568
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,pool,xs1,1.099,0.611,4.815,3.518,4.557,4.382,49.959,49.514,,,,
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,riffle,xs2,0.661,0.35,2.852,1.343,8.629,4.315,49.268,49.283,17.498,0.457,,
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,pool,xs3,0.716,0.4,3.28,1.575,8.468,4.581,49.136,49.373,10.587,0.472,28.085,
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,riffle,xs4,0.803,0.418,3.193,1.575,7.615,3.976,49.117,49.24,15.948,0.502,,26.535
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,pool,xs5,1.362,0.778,3.76,3.66,4.713,2.76,49.443,50.062,16.635,1.503,32.583,
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,riffle,xs6,0.785,0.503,4.365,2.697,8.023,5.561,49.176,49.224,14.005,0.857,,30.640
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,pool,xs7,1.151,0.594,4.786,3.505,5.422,4.158,49.113,49.363,20.033,0.250,34.038,
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,riffle,xs8,0.834,0.488,3.944,1.859,7.124,4.729,49.598,49.181,5.494,0.000,,25.527
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs1,1.139,0.617,3.936,2.93,5.356,3.456,49.36,49.261,,,,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs2,0.989,0.486,7.31,4.243,5.882,7.392,49.141,49.114,23.421,0.854,,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs3,1.029,0.521,4.293,3.001,5.916,4.172,48.916,49.04,16.633,0.301,40.054,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs4,0.543,0.255,3.459,1.037,10.4,6.369,48.691,49.094,19.055,0.577,,35.688
